line_no,doi,compound,entity,title,year,authors,existing_sources
152,10.3390/molecules30132824,,,"Ketamine-From an Anesthetic to a Psychiatric Drug: Mechanisms of Action, Clinical Applications and Potential Risks.",2025,Gibuła-Tarłowska E; Wiszniewska A; Turyk M; Szymczyk P; Kotlińska JH; Kędzierska E,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
154,10.1016/j.ejphar.2025.178301,,,L-type voltage-dependent calcium channels in the ventromedial orbitofrontal and prefrontal cortices mediate the inhibitory effects of (S)-ketamine but not (R)-ketamine on marble burying in male mice.,2025,Deyama S; Mishiro K; Kunishima M; Kaneda K,candidate_paper_corpus | mechanistic:paper_library
156,10.3390/ijms26188949,,,Microdosing Psychedelics to Restore Synaptic Density in Schizophrenia.,2025,Sapienza J; Spangaro M; Comai S; Sabé M; La Torre J; Buonarroti M; Cavallaro R; Bosia M,candidate_paper_corpus | disorder:paper_library
157,10.1126/sciadv.adv5986,,,Microglial BDNF modulates arketamine's antidepressant-like effects through cortico-accumbal pathways.,2025,He L; Wang X; Luo S; Jiang N; Yan Y; Xie M; Chen Y; Yang C; Yao W; Hashimoto K,candidate_paper_corpus | mechanistic:paper_library
158,10.3390/cells14241967,,,Modulation of Metabotropic Glutamate Receptors as a Strategy to Improve the Efficacy and Safety of Ketamine as an Antidepressant.,2025,Pałucha-Poniewiera A,candidate_paper_corpus | mechanistic:paper_library
161,10.1073/pnas.2416106122,,,Molecular design of a therapeutic LSD analogue with reduced hallucinogenic potential.,2025,Tuck JR; Dunlap LE; Khatib YA; Hatzipantelis CJ; Weiser Novak S; Rahn RM; Davis AR; Mosswood A; Vernier AMM; Fenton EM,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
162,10.1007/s00213-025-06756-4,,,Molecular pathways of ketamine: A systematic review of immediate and sustained effects on PTSD.,2025,Wellington NJ; Boųcas AP; Lagopoulos J; Quigley BL; Kuballa AV,candidate_paper_corpus | mechanistic:paper_library
163,10.1016/j.pnpbp.2025.111259,,,"N, N-dimethyltryptamine (DMT) in rodent brain: Concentrations, distribution, and recent pharmacological data.",2025,Barker SA,candidate_paper_corpus | mechanistic:paper_library
164,10.1152/jn.00296.2024,,,N-Methyl d-aspartate receptor hypofunction reduces steady-state visual-evoked potentials.,2025,Schielke A; Krekelberg B,candidate_paper_corpus | mechanistic:paper_library
165,10.1136/rapm-2024-105612,,,N-Methyl-D-aspartate receptor antagonists for the prevention of chronic postsurgical pain: a narrative review.,2025,Mojica JJ; Eddy G; Schwenk ES,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
166,10.1093/brain/awaf011,,,N-methyl-d-aspartate receptor hypofunction causes recurrent and transient failures of perceptual inference.,2025,Weilnhammer V; Rothkirch M; Yilmaz D; Fritsch M; Ptasczynski LE; Reichenbach K; Roediger L; Corlett P; Sterzer P,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
170,10.3389/fnsys.2025.1585367,,,Neurobiology of psilocybin: a comprehensive overview and comparative analysis of experimental models.,2025,Adeyinka D; Forsyth D; Currie S; Faraone N,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
171,10.1177/0271678x241302937,,,Neurochemical characterization of 5-HT(2A)R partial agonists with simultaneous PET-MRI.,2025,Bagdasarian FA; Larsen K; Deng HP; Fisher PM; Mandeville JB; Sander CY; Wey HY; Hansen HD,candidate_paper_corpus | mechanistic:curated | mechanistic:paper_library
172,10.7759/cureus.83244,,,Neuropharmacology of Ketamine and Its Use in the Treatment of Major Depressive Disorder: A Review.,2025,Papadopoulos Z,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
174,10.31083/rn33478,,,Neuroplasticity in Post-Traumatic Stress Disorder.,2025,López-López B; Crespo I,candidate_paper_corpus | disorder:paper_library
176,10.1111/bph.70050,,,Neuropsychopharmacology of hallucinogenic and non-hallucinogenic 5-HT(2A) receptor agonists.,2025,Sharp T; Ippolito A,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
177,10.3389/fpsyt.2025.1621887,,,New and emerging pharmacologic treatments for MDD.,2025,Uyar A; Gonul AS,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
