doi,mapping_status,current_pmid,verified_pmid,current_pmcid,verified_pmcid,verified_doi,idconv_status,idconv_error
10.1002/dta.2613,pmcid_verified,31083768,31083768,PMC6899222,PMC6899222,10.1002/dta.2613,,
10.1002/dta.2789,pmcid_verified,32180350,32180350,PMC9191646,PMC9191646,10.1002/dta.2789,,
10.1002/dta.2821,no_pmcid,32415750,,,,10.1002/dta.2821,error,Identifier not found in PMC
10.1002/dta.3112,pmcid_verified,34121336,34121336,PMC8518369,PMC8518369,10.1002/dta.3112,,
10.1002/dta.3205,pmcid_verified,34837347,34837347,PMC9191648,PMC9191648,10.1002/dta.3205,,
10.1002/dta.3281,pmcid_verified,35524430,35524430,PMC9546273,PMC9546273,10.1002/dta.3281,,
10.1002/dta.3547,no_pmcid,37489044,,,,10.1002/dta.3547,error,Identifier not found in PMC
10.1002/dta.3622,no_pmcid,38056906,,,,10.1002/dta.3622,error,Identifier not found in PMC
10.1002/dta.3629,no_pmcid,38263623,,,,10.1002/dta.3629,error,Identifier not found in PMC
10.1002/dta.3829,pmcid_verified,39624022,39624022,PMC12319525,PMC12319525,10.1002/dta.3829,,
10.1002/dta.70057,pmcid_verified,41833302,41833302,PMC13122274,PMC13122274,10.1002/dta.70057,,
10.1002/eat.23892,no_pmcid,36606314,,,,10.1002/eat.23892,error,Identifier not found in PMC
10.1002/eat.24041,pmcid_verified,37551650,37551650,PMC12965192,PMC12965192,10.1002/eat.24041,,
10.1002/eat.24260,pmcid_verified,39072846,39072846,PMC11560741,PMC11560741,10.1002/eat.24260,,
10.1002/eat.24528,pmcid_verified,40838274,40838274,PMC12605776,PMC12605776,10.1002/eat.24528,,
10.1002/ece3.73522,pmcid_verified,42037650,42037650,PMC13103472,PMC13103472,10.1002/ece3.73522,,
10.1002/ejoc.202400432,pmcid_verified,40895173,40895173,PMC12393092,PMC12393092,10.1002/ejoc.202400432,,
10.1002/ejp.1002,pmcid_verified,28158929,28158929,PMC5466480,PMC5466480,10.1002/ejp.1002,,
10.1002/ejp.1153,no_pmcid,29178663,,,,10.1002/ejp.1153,error,Identifier not found in PMC
10.1002/ejp.1914,no_pmcid,35092320,,,,10.1002/ejp.1914,error,Identifier not found in PMC
10.1002/ejp.2171,no_pmcid,37599279,,,,10.1002/ejp.2171,error,Identifier not found in PMC
10.1002/ejp.567,pmcid_verified,25088289,25088289,PMC4405062,PMC4405062,10.1002/ejp.567,,
10.1002/ejp.847,pmcid_verified,26914635,26914635,PMC5425247,PMC5425247,10.1002/ejp.847,,
10.1002/elps.202200175,pmcid_verified,36398998,36398998,PMC10108174,PMC10108174,10.1002/elps.202200175,,
