# query|compound|entity
Bufotenin H1 receptor HRH1 binding affinity Ki|Bufotenin|H1 receptor (HRH1)
Bufotenin H1 receptor HRH1 receptor pharmacology assay|Bufotenin|H1 receptor (HRH1)
Bufotenin H1 receptor HRH1 functional assay agonist antagonist|Bufotenin|H1 receptor (HRH1)
Bufotenin H2 receptor HRH2 binding affinity Ki|Bufotenin|H2 receptor (HRH2)
Bufotenin H2 receptor HRH2 receptor pharmacology assay|Bufotenin|H2 receptor (HRH2)
Bufotenin H2 receptor HRH2 functional assay agonist antagonist|Bufotenin|H2 receptor (HRH2)
Bufotenin Sigma-1 receptor SIGMAR1 binding affinity Ki|Bufotenin|Sigma-1 receptor (SIGMAR1)
Bufotenin Sigma-1 receptor SIGMAR1 receptor pharmacology assay|Bufotenin|Sigma-1 receptor (SIGMAR1)
Bufotenin Sigma-1 receptor SIGMAR1 functional assay agonist antagonist|Bufotenin|Sigma-1 receptor (SIGMAR1)
Bufotenin Sigma-2 receptor TMEM97 binding affinity Ki|Bufotenin|Sigma-2 receptor (TMEM97)
Bufotenin Sigma-2 receptor TMEM97 receptor pharmacology assay|Bufotenin|Sigma-2 receptor (TMEM97)
Bufotenin Sigma-2 receptor TMEM97 functional assay agonist antagonist|Bufotenin|Sigma-2 receptor (TMEM97)
Bufotenin kappa opioid receptor OPRK1 binding affinity Ki|Bufotenin|kappa opioid receptor (OPRK1)
Bufotenin kappa opioid receptor OPRK1 receptor pharmacology assay|Bufotenin|kappa opioid receptor (OPRK1)
Bufotenin kappa opioid receptor OPRK1 functional assay agonist antagonist|Bufotenin|kappa opioid receptor (OPRK1)
Bufotenin mu opioid receptor OPRM1 binding affinity Ki|Bufotenin|mu opioid receptor (OPRM1)
Bufotenin mu opioid receptor OPRM1 receptor pharmacology assay|Bufotenin|mu opioid receptor (OPRM1)
Bufotenin mu opioid receptor OPRM1 functional assay agonist antagonist|Bufotenin|mu opioid receptor (OPRM1)
Bufotenin delta opioid receptor OPRD1 binding affinity Ki|Bufotenin|delta opioid receptor (OPRD1)
Bufotenin delta opioid receptor OPRD1 receptor pharmacology assay|Bufotenin|delta opioid receptor (OPRD1)
Bufotenin delta opioid receptor OPRD1 functional assay agonist antagonist|Bufotenin|delta opioid receptor (OPRD1)
Bufotenin NMDA receptor binding affinity Ki|Bufotenin|NMDA receptor
Bufotenin NMDA receptor pharmacology assay|Bufotenin|NMDA receptor
Bufotenin NMDA receptor functional assay agonist antagonist|Bufotenin|NMDA receptor
Bufotenin AMPA receptor binding affinity Ki|Bufotenin|AMPA receptor
Bufotenin AMPA receptor pharmacology assay|Bufotenin|AMPA receptor
Bufotenin AMPA receptor functional assay agonist antagonist|Bufotenin|AMPA receptor
Bufotenin TrkB NTRK2 binding affinity Ki|Bufotenin|TrkB (NTRK2)
Bufotenin TrkB NTRK2 receptor pharmacology assay|Bufotenin|TrkB (NTRK2)
Bufotenin TrkB NTRK2 functional assay agonist antagonist|Bufotenin|TrkB (NTRK2)
Bufotenin CB1 receptor CNR1 binding affinity Ki|Bufotenin|CB1 receptor (CNR1)
Bufotenin CB1 receptor CNR1 receptor pharmacology assay|Bufotenin|CB1 receptor (CNR1)
Bufotenin CB1 receptor CNR1 functional assay agonist antagonist|Bufotenin|CB1 receptor (CNR1)
Bufotenin CB2 receptor CNR2 binding affinity Ki|Bufotenin|CB2 receptor (CNR2)
Bufotenin CB2 receptor CNR2 receptor pharmacology assay|Bufotenin|CB2 receptor (CNR2)
Bufotenin CB2 receptor CNR2 functional assay agonist antagonist|Bufotenin|CB2 receptor (CNR2)
Ayahuasca 5-HT2A binding affinity Ki|Ayahuasca|5-HT2A
Ayahuasca 5-HT2A receptor pharmacology assay|Ayahuasca|5-HT2A
Ayahuasca 5-HT2A functional assay agonist antagonist|Ayahuasca|5-HT2A
Ayahuasca 5-HT2B binding affinity Ki|Ayahuasca|5-HT2B
Ayahuasca 5-HT2B receptor pharmacology assay|Ayahuasca|5-HT2B
Ayahuasca 5-HT2B functional assay agonist antagonist|Ayahuasca|5-HT2B
Ayahuasca 5-HT2C binding affinity Ki|Ayahuasca|5-HT2C
Ayahuasca 5-HT2C receptor pharmacology assay|Ayahuasca|5-HT2C
Ayahuasca 5-HT2C functional assay agonist antagonist|Ayahuasca|5-HT2C
Ayahuasca 5-HT1A binding affinity Ki|Ayahuasca|5-HT1A
Ayahuasca 5-HT1A receptor pharmacology assay|Ayahuasca|5-HT1A
Ayahuasca 5-HT1A functional assay agonist antagonist|Ayahuasca|5-HT1A
Ayahuasca 5-HT1B binding affinity Ki|Ayahuasca|5-HT1B
Ayahuasca 5-HT1B receptor pharmacology assay|Ayahuasca|5-HT1B
Ayahuasca 5-HT1B functional assay agonist antagonist|Ayahuasca|5-HT1B
Ayahuasca 5-HT1D binding affinity Ki|Ayahuasca|5-HT1D
Ayahuasca 5-HT1D receptor pharmacology assay|Ayahuasca|5-HT1D
Ayahuasca 5-HT1D functional assay agonist antagonist|Ayahuasca|5-HT1D
Ayahuasca 5-HT1E binding affinity Ki|Ayahuasca|5-HT1E
Ayahuasca 5-HT1E receptor pharmacology assay|Ayahuasca|5-HT1E
Ayahuasca 5-HT1E functional assay agonist antagonist|Ayahuasca|5-HT1E
Ayahuasca 5-HT1F binding affinity Ki|Ayahuasca|5-HT1F
Ayahuasca 5-HT1F receptor pharmacology assay|Ayahuasca|5-HT1F
Ayahuasca 5-HT1F functional assay agonist antagonist|Ayahuasca|5-HT1F
Ayahuasca 5-HT5A binding affinity Ki|Ayahuasca|5-HT5A
Ayahuasca 5-HT5A receptor pharmacology assay|Ayahuasca|5-HT5A
Ayahuasca 5-HT5A functional assay agonist antagonist|Ayahuasca|5-HT5A
Ayahuasca 5-HT6 binding affinity Ki|Ayahuasca|5-HT6
Ayahuasca 5-HT6 receptor pharmacology assay|Ayahuasca|5-HT6
Ayahuasca 5-HT6 functional assay agonist antagonist|Ayahuasca|5-HT6
Ayahuasca 5-HT7 binding affinity Ki|Ayahuasca|5-HT7
Ayahuasca 5-HT7 receptor pharmacology assay|Ayahuasca|5-HT7
Ayahuasca 5-HT7 functional assay agonist antagonist|Ayahuasca|5-HT7
Ayahuasca mGluR2 GRM2 binding affinity Ki|Ayahuasca|mGluR2 (GRM2)
Ayahuasca mGluR2 GRM2 receptor pharmacology assay|Ayahuasca|mGluR2 (GRM2)
Ayahuasca mGluR2 GRM2 functional assay agonist antagonist|Ayahuasca|mGluR2 (GRM2)
Ayahuasca TAAR1 binding affinity Ki|Ayahuasca|TAAR1
Ayahuasca TAAR1 receptor pharmacology assay|Ayahuasca|TAAR1
Ayahuasca TAAR1 functional assay agonist antagonist|Ayahuasca|TAAR1
Ayahuasca SERT SLC6A4 binding affinity Ki|Ayahuasca|SERT (SLC6A4)
Ayahuasca SERT SLC6A4 receptor pharmacology assay|Ayahuasca|SERT (SLC6A4)
Ayahuasca SERT SLC6A4 functional assay agonist antagonist|Ayahuasca|SERT (SLC6A4)
Ayahuasca NET SLC6A2 binding affinity Ki|Ayahuasca|NET (SLC6A2)
Ayahuasca NET SLC6A2 receptor pharmacology assay|Ayahuasca|NET (SLC6A2)
Ayahuasca NET SLC6A2 functional assay agonist antagonist|Ayahuasca|NET (SLC6A2)
Ayahuasca DAT SLC6A3 binding affinity Ki|Ayahuasca|DAT (SLC6A3)
Ayahuasca DAT SLC6A3 receptor pharmacology assay|Ayahuasca|DAT (SLC6A3)
Ayahuasca DAT SLC6A3 functional assay agonist antagonist|Ayahuasca|DAT (SLC6A3)
Ayahuasca VMAT2 SLC18A2 binding affinity Ki|Ayahuasca|VMAT2 (SLC18A2)
Ayahuasca VMAT2 SLC18A2 receptor pharmacology assay|Ayahuasca|VMAT2 (SLC18A2)
Ayahuasca VMAT2 SLC18A2 functional assay agonist antagonist|Ayahuasca|VMAT2 (SLC18A2)
Ayahuasca D1 receptor DRD1 binding affinity Ki|Ayahuasca|D1 receptor (DRD1)
Ayahuasca D1 receptor DRD1 receptor pharmacology assay|Ayahuasca|D1 receptor (DRD1)
Ayahuasca D1 receptor DRD1 functional assay agonist antagonist|Ayahuasca|D1 receptor (DRD1)
Ayahuasca D2 receptor DRD2 binding affinity Ki|Ayahuasca|D2 receptor (DRD2)
Ayahuasca D2 receptor DRD2 receptor pharmacology assay|Ayahuasca|D2 receptor (DRD2)
Ayahuasca D2 receptor DRD2 functional assay agonist antagonist|Ayahuasca|D2 receptor (DRD2)
Ayahuasca D3 receptor DRD3 binding affinity Ki|Ayahuasca|D3 receptor (DRD3)
Ayahuasca D3 receptor DRD3 receptor pharmacology assay|Ayahuasca|D3 receptor (DRD3)
Ayahuasca D3 receptor DRD3 functional assay agonist antagonist|Ayahuasca|D3 receptor (DRD3)
Ayahuasca D4 receptor DRD4 binding affinity Ki|Ayahuasca|D4 receptor (DRD4)
Ayahuasca D4 receptor DRD4 receptor pharmacology assay|Ayahuasca|D4 receptor (DRD4)
Ayahuasca D4 receptor DRD4 functional assay agonist antagonist|Ayahuasca|D4 receptor (DRD4)
Ayahuasca D5 receptor DRD5 binding affinity Ki|Ayahuasca|D5 receptor (DRD5)
Ayahuasca D5 receptor DRD5 receptor pharmacology assay|Ayahuasca|D5 receptor (DRD5)
Ayahuasca D5 receptor DRD5 functional assay agonist antagonist|Ayahuasca|D5 receptor (DRD5)
Ayahuasca Alpha1A adrenergic receptor ADRA1A binding affinity Ki|Ayahuasca|Alpha1A adrenergic receptor (ADRA1A)
Ayahuasca Alpha1A adrenergic receptor ADRA1A receptor pharmacology assay|Ayahuasca|Alpha1A adrenergic receptor (ADRA1A)
Ayahuasca Alpha1A adrenergic receptor ADRA1A functional assay agonist antagonist|Ayahuasca|Alpha1A adrenergic receptor (ADRA1A)
Ayahuasca Alpha1B adrenergic receptor ADRA1B binding affinity Ki|Ayahuasca|Alpha1B adrenergic receptor (ADRA1B)
Ayahuasca Alpha1B adrenergic receptor ADRA1B receptor pharmacology assay|Ayahuasca|Alpha1B adrenergic receptor (ADRA1B)
Ayahuasca Alpha1B adrenergic receptor ADRA1B functional assay agonist antagonist|Ayahuasca|Alpha1B adrenergic receptor (ADRA1B)
Ayahuasca Alpha2A adrenergic receptor ADRA2A binding affinity Ki|Ayahuasca|Alpha2A adrenergic receptor (ADRA2A)
Ayahuasca Alpha2A adrenergic receptor ADRA2A receptor pharmacology assay|Ayahuasca|Alpha2A adrenergic receptor (ADRA2A)
Ayahuasca Alpha2A adrenergic receptor ADRA2A functional assay agonist antagonist|Ayahuasca|Alpha2A adrenergic receptor (ADRA2A)
Ayahuasca Alpha2B adrenergic receptor ADRA2B binding affinity Ki|Ayahuasca|Alpha2B adrenergic receptor (ADRA2B)
Ayahuasca Alpha2B adrenergic receptor ADRA2B receptor pharmacology assay|Ayahuasca|Alpha2B adrenergic receptor (ADRA2B)
Ayahuasca Alpha2B adrenergic receptor ADRA2B functional assay agonist antagonist|Ayahuasca|Alpha2B adrenergic receptor (ADRA2B)
Ayahuasca Alpha2C adrenergic receptor ADRA2C binding affinity Ki|Ayahuasca|Alpha2C adrenergic receptor (ADRA2C)
Ayahuasca Alpha2C adrenergic receptor ADRA2C receptor pharmacology assay|Ayahuasca|Alpha2C adrenergic receptor (ADRA2C)
Ayahuasca Alpha2C adrenergic receptor ADRA2C functional assay agonist antagonist|Ayahuasca|Alpha2C adrenergic receptor (ADRA2C)
Ayahuasca Beta1 adrenergic receptor ADRB1 binding affinity Ki|Ayahuasca|Beta1 adrenergic receptor (ADRB1)
Ayahuasca Beta1 adrenergic receptor ADRB1 receptor pharmacology assay|Ayahuasca|Beta1 adrenergic receptor (ADRB1)
Ayahuasca Beta1 adrenergic receptor ADRB1 functional assay agonist antagonist|Ayahuasca|Beta1 adrenergic receptor (ADRB1)
Ayahuasca Beta2 adrenergic receptor ADRB2 binding affinity Ki|Ayahuasca|Beta2 adrenergic receptor (ADRB2)
Ayahuasca Beta2 adrenergic receptor ADRB2 receptor pharmacology assay|Ayahuasca|Beta2 adrenergic receptor (ADRB2)
Ayahuasca Beta2 adrenergic receptor ADRB2 functional assay agonist antagonist|Ayahuasca|Beta2 adrenergic receptor (ADRB2)
Ayahuasca M1 muscarinic receptor CHRM1 binding affinity Ki|Ayahuasca|M1 muscarinic receptor (CHRM1)
Ayahuasca M1 muscarinic receptor CHRM1 receptor pharmacology assay|Ayahuasca|M1 muscarinic receptor (CHRM1)
Ayahuasca M1 muscarinic receptor CHRM1 functional assay agonist antagonist|Ayahuasca|M1 muscarinic receptor (CHRM1)
Ayahuasca M2 muscarinic receptor CHRM2 binding affinity Ki|Ayahuasca|M2 muscarinic receptor (CHRM2)
Ayahuasca M2 muscarinic receptor CHRM2 receptor pharmacology assay|Ayahuasca|M2 muscarinic receptor (CHRM2)
Ayahuasca M2 muscarinic receptor CHRM2 functional assay agonist antagonist|Ayahuasca|M2 muscarinic receptor (CHRM2)
Ayahuasca M3 muscarinic receptor CHRM3 binding affinity Ki|Ayahuasca|M3 muscarinic receptor (CHRM3)
Ayahuasca M3 muscarinic receptor CHRM3 receptor pharmacology assay|Ayahuasca|M3 muscarinic receptor (CHRM3)
Ayahuasca M3 muscarinic receptor CHRM3 functional assay agonist antagonist|Ayahuasca|M3 muscarinic receptor (CHRM3)
Ayahuasca M4 muscarinic receptor CHRM4 binding affinity Ki|Ayahuasca|M4 muscarinic receptor (CHRM4)
Ayahuasca M4 muscarinic receptor CHRM4 receptor pharmacology assay|Ayahuasca|M4 muscarinic receptor (CHRM4)
Ayahuasca M4 muscarinic receptor CHRM4 functional assay agonist antagonist|Ayahuasca|M4 muscarinic receptor (CHRM4)
Ayahuasca M5 muscarinic receptor CHRM5 binding affinity Ki|Ayahuasca|M5 muscarinic receptor (CHRM5)
Ayahuasca M5 muscarinic receptor CHRM5 receptor pharmacology assay|Ayahuasca|M5 muscarinic receptor (CHRM5)
Ayahuasca M5 muscarinic receptor CHRM5 functional assay agonist antagonist|Ayahuasca|M5 muscarinic receptor (CHRM5)
Ayahuasca H1 receptor HRH1 binding affinity Ki|Ayahuasca|H1 receptor (HRH1)
Ayahuasca H1 receptor HRH1 receptor pharmacology assay|Ayahuasca|H1 receptor (HRH1)
Ayahuasca H1 receptor HRH1 functional assay agonist antagonist|Ayahuasca|H1 receptor (HRH1)
Ayahuasca H2 receptor HRH2 binding affinity Ki|Ayahuasca|H2 receptor (HRH2)
Ayahuasca H2 receptor HRH2 receptor pharmacology assay|Ayahuasca|H2 receptor (HRH2)
Ayahuasca H2 receptor HRH2 functional assay agonist antagonist|Ayahuasca|H2 receptor (HRH2)
Ayahuasca Sigma-1 receptor SIGMAR1 binding affinity Ki|Ayahuasca|Sigma-1 receptor (SIGMAR1)
Ayahuasca Sigma-1 receptor SIGMAR1 receptor pharmacology assay|Ayahuasca|Sigma-1 receptor (SIGMAR1)
Ayahuasca Sigma-1 receptor SIGMAR1 functional assay agonist antagonist|Ayahuasca|Sigma-1 receptor (SIGMAR1)
Ayahuasca Sigma-2 receptor TMEM97 binding affinity Ki|Ayahuasca|Sigma-2 receptor (TMEM97)
Ayahuasca Sigma-2 receptor TMEM97 receptor pharmacology assay|Ayahuasca|Sigma-2 receptor (TMEM97)
Ayahuasca Sigma-2 receptor TMEM97 functional assay agonist antagonist|Ayahuasca|Sigma-2 receptor (TMEM97)
Ayahuasca kappa opioid receptor OPRK1 binding affinity Ki|Ayahuasca|kappa opioid receptor (OPRK1)
Ayahuasca kappa opioid receptor OPRK1 receptor pharmacology assay|Ayahuasca|kappa opioid receptor (OPRK1)
Ayahuasca kappa opioid receptor OPRK1 functional assay agonist antagonist|Ayahuasca|kappa opioid receptor (OPRK1)
Ayahuasca mu opioid receptor OPRM1 binding affinity Ki|Ayahuasca|mu opioid receptor (OPRM1)
Ayahuasca mu opioid receptor OPRM1 receptor pharmacology assay|Ayahuasca|mu opioid receptor (OPRM1)
Ayahuasca mu opioid receptor OPRM1 functional assay agonist antagonist|Ayahuasca|mu opioid receptor (OPRM1)
Ayahuasca delta opioid receptor OPRD1 binding affinity Ki|Ayahuasca|delta opioid receptor (OPRD1)
Ayahuasca delta opioid receptor OPRD1 receptor pharmacology assay|Ayahuasca|delta opioid receptor (OPRD1)
Ayahuasca delta opioid receptor OPRD1 functional assay agonist antagonist|Ayahuasca|delta opioid receptor (OPRD1)
Ayahuasca NMDA receptor binding affinity Ki|Ayahuasca|NMDA receptor
Ayahuasca NMDA receptor pharmacology assay|Ayahuasca|NMDA receptor
Ayahuasca NMDA receptor functional assay agonist antagonist|Ayahuasca|NMDA receptor
Ayahuasca AMPA receptor binding affinity Ki|Ayahuasca|AMPA receptor
Ayahuasca AMPA receptor pharmacology assay|Ayahuasca|AMPA receptor
Ayahuasca AMPA receptor functional assay agonist antagonist|Ayahuasca|AMPA receptor
Ayahuasca TrkB NTRK2 binding affinity Ki|Ayahuasca|TrkB (NTRK2)
Ayahuasca TrkB NTRK2 receptor pharmacology assay|Ayahuasca|TrkB (NTRK2)
Ayahuasca TrkB NTRK2 functional assay agonist antagonist|Ayahuasca|TrkB (NTRK2)
Ayahuasca CB1 receptor CNR1 binding affinity Ki|Ayahuasca|CB1 receptor (CNR1)
Ayahuasca CB1 receptor CNR1 receptor pharmacology assay|Ayahuasca|CB1 receptor (CNR1)
Ayahuasca CB1 receptor CNR1 functional assay agonist antagonist|Ayahuasca|CB1 receptor (CNR1)
Ayahuasca CB2 receptor CNR2 binding affinity Ki|Ayahuasca|CB2 receptor (CNR2)
Ayahuasca CB2 receptor CNR2 receptor pharmacology assay|Ayahuasca|CB2 receptor (CNR2)
Ayahuasca CB2 receptor CNR2 functional assay agonist antagonist|Ayahuasca|CB2 receptor (CNR2)
Ibogaine 5-HT2A binding affinity Ki|Ibogaine|5-HT2A
Ibogaine 5-HT2A receptor pharmacology assay|Ibogaine|5-HT2A
Ibogaine 5-HT2A functional assay agonist antagonist|Ibogaine|5-HT2A
Ibogaine 5-HT2B binding affinity Ki|Ibogaine|5-HT2B
Ibogaine 5-HT2B receptor pharmacology assay|Ibogaine|5-HT2B
Ibogaine 5-HT2B functional assay agonist antagonist|Ibogaine|5-HT2B
Ibogaine 5-HT2C binding affinity Ki|Ibogaine|5-HT2C
Ibogaine 5-HT2C receptor pharmacology assay|Ibogaine|5-HT2C
Ibogaine 5-HT2C functional assay agonist antagonist|Ibogaine|5-HT2C
Ibogaine 5-HT1A binding affinity Ki|Ibogaine|5-HT1A
Ibogaine 5-HT1A receptor pharmacology assay|Ibogaine|5-HT1A
Ibogaine 5-HT1A functional assay agonist antagonist|Ibogaine|5-HT1A
Ibogaine 5-HT1B binding affinity Ki|Ibogaine|5-HT1B
Ibogaine 5-HT1B receptor pharmacology assay|Ibogaine|5-HT1B
Ibogaine 5-HT1B functional assay agonist antagonist|Ibogaine|5-HT1B
Ibogaine 5-HT1D binding affinity Ki|Ibogaine|5-HT1D
Ibogaine 5-HT1D receptor pharmacology assay|Ibogaine|5-HT1D
Ibogaine 5-HT1D functional assay agonist antagonist|Ibogaine|5-HT1D
Ibogaine 5-HT1E binding affinity Ki|Ibogaine|5-HT1E
Ibogaine 5-HT1E receptor pharmacology assay|Ibogaine|5-HT1E
Ibogaine 5-HT1E functional assay agonist antagonist|Ibogaine|5-HT1E
Ibogaine 5-HT1F binding affinity Ki|Ibogaine|5-HT1F
Ibogaine 5-HT1F receptor pharmacology assay|Ibogaine|5-HT1F
Ibogaine 5-HT1F functional assay agonist antagonist|Ibogaine|5-HT1F
Ibogaine 5-HT5A binding affinity Ki|Ibogaine|5-HT5A
Ibogaine 5-HT5A receptor pharmacology assay|Ibogaine|5-HT5A
Ibogaine 5-HT5A functional assay agonist antagonist|Ibogaine|5-HT5A
Ibogaine 5-HT6 binding affinity Ki|Ibogaine|5-HT6
Ibogaine 5-HT6 receptor pharmacology assay|Ibogaine|5-HT6
Ibogaine 5-HT6 functional assay agonist antagonist|Ibogaine|5-HT6
Ibogaine 5-HT7 binding affinity Ki|Ibogaine|5-HT7
Ibogaine 5-HT7 receptor pharmacology assay|Ibogaine|5-HT7
Ibogaine 5-HT7 functional assay agonist antagonist|Ibogaine|5-HT7
Ibogaine mGluR2 GRM2 binding affinity Ki|Ibogaine|mGluR2 (GRM2)
Ibogaine mGluR2 GRM2 receptor pharmacology assay|Ibogaine|mGluR2 (GRM2)
Ibogaine mGluR2 GRM2 functional assay agonist antagonist|Ibogaine|mGluR2 (GRM2)
Ibogaine TAAR1 binding affinity Ki|Ibogaine|TAAR1
Ibogaine TAAR1 receptor pharmacology assay|Ibogaine|TAAR1
Ibogaine TAAR1 functional assay agonist antagonist|Ibogaine|TAAR1
Ibogaine SERT SLC6A4 binding affinity Ki|Ibogaine|SERT (SLC6A4)
Ibogaine SERT SLC6A4 receptor pharmacology assay|Ibogaine|SERT (SLC6A4)
Ibogaine SERT SLC6A4 functional assay agonist antagonist|Ibogaine|SERT (SLC6A4)
Ibogaine NET SLC6A2 binding affinity Ki|Ibogaine|NET (SLC6A2)
Ibogaine NET SLC6A2 receptor pharmacology assay|Ibogaine|NET (SLC6A2)
Ibogaine NET SLC6A2 functional assay agonist antagonist|Ibogaine|NET (SLC6A2)
Ibogaine DAT SLC6A3 binding affinity Ki|Ibogaine|DAT (SLC6A3)
Ibogaine DAT SLC6A3 receptor pharmacology assay|Ibogaine|DAT (SLC6A3)
Ibogaine DAT SLC6A3 functional assay agonist antagonist|Ibogaine|DAT (SLC6A3)
Ibogaine VMAT2 SLC18A2 binding affinity Ki|Ibogaine|VMAT2 (SLC18A2)
Ibogaine VMAT2 SLC18A2 receptor pharmacology assay|Ibogaine|VMAT2 (SLC18A2)
Ibogaine VMAT2 SLC18A2 functional assay agonist antagonist|Ibogaine|VMAT2 (SLC18A2)
Ibogaine D1 receptor DRD1 binding affinity Ki|Ibogaine|D1 receptor (DRD1)
Ibogaine D1 receptor DRD1 receptor pharmacology assay|Ibogaine|D1 receptor (DRD1)
Ibogaine D1 receptor DRD1 functional assay agonist antagonist|Ibogaine|D1 receptor (DRD1)
Ibogaine D2 receptor DRD2 binding affinity Ki|Ibogaine|D2 receptor (DRD2)
Ibogaine D2 receptor DRD2 receptor pharmacology assay|Ibogaine|D2 receptor (DRD2)
Ibogaine D2 receptor DRD2 functional assay agonist antagonist|Ibogaine|D2 receptor (DRD2)
Ibogaine D3 receptor DRD3 binding affinity Ki|Ibogaine|D3 receptor (DRD3)
Ibogaine D3 receptor DRD3 receptor pharmacology assay|Ibogaine|D3 receptor (DRD3)
Ibogaine D3 receptor DRD3 functional assay agonist antagonist|Ibogaine|D3 receptor (DRD3)
Ibogaine D4 receptor DRD4 binding affinity Ki|Ibogaine|D4 receptor (DRD4)
Ibogaine D4 receptor DRD4 receptor pharmacology assay|Ibogaine|D4 receptor (DRD4)
Ibogaine D4 receptor DRD4 functional assay agonist antagonist|Ibogaine|D4 receptor (DRD4)
Ibogaine D5 receptor DRD5 binding affinity Ki|Ibogaine|D5 receptor (DRD5)
Ibogaine D5 receptor DRD5 receptor pharmacology assay|Ibogaine|D5 receptor (DRD5)
Ibogaine D5 receptor DRD5 functional assay agonist antagonist|Ibogaine|D5 receptor (DRD5)
Ibogaine Alpha1A adrenergic receptor ADRA1A binding affinity Ki|Ibogaine|Alpha1A adrenergic receptor (ADRA1A)
Ibogaine Alpha1A adrenergic receptor ADRA1A receptor pharmacology assay|Ibogaine|Alpha1A adrenergic receptor (ADRA1A)
Ibogaine Alpha1A adrenergic receptor ADRA1A functional assay agonist antagonist|Ibogaine|Alpha1A adrenergic receptor (ADRA1A)
Ibogaine Alpha1B adrenergic receptor ADRA1B binding affinity Ki|Ibogaine|Alpha1B adrenergic receptor (ADRA1B)
Ibogaine Alpha1B adrenergic receptor ADRA1B receptor pharmacology assay|Ibogaine|Alpha1B adrenergic receptor (ADRA1B)
Ibogaine Alpha1B adrenergic receptor ADRA1B functional assay agonist antagonist|Ibogaine|Alpha1B adrenergic receptor (ADRA1B)
Ibogaine Alpha2A adrenergic receptor ADRA2A binding affinity Ki|Ibogaine|Alpha2A adrenergic receptor (ADRA2A)
Ibogaine Alpha2A adrenergic receptor ADRA2A receptor pharmacology assay|Ibogaine|Alpha2A adrenergic receptor (ADRA2A)
Ibogaine Alpha2A adrenergic receptor ADRA2A functional assay agonist antagonist|Ibogaine|Alpha2A adrenergic receptor (ADRA2A)
Ibogaine Alpha2B adrenergic receptor ADRA2B binding affinity Ki|Ibogaine|Alpha2B adrenergic receptor (ADRA2B)
Ibogaine Alpha2B adrenergic receptor ADRA2B receptor pharmacology assay|Ibogaine|Alpha2B adrenergic receptor (ADRA2B)
Ibogaine Alpha2B adrenergic receptor ADRA2B functional assay agonist antagonist|Ibogaine|Alpha2B adrenergic receptor (ADRA2B)
Ibogaine Alpha2C adrenergic receptor ADRA2C binding affinity Ki|Ibogaine|Alpha2C adrenergic receptor (ADRA2C)
Ibogaine Alpha2C adrenergic receptor ADRA2C receptor pharmacology assay|Ibogaine|Alpha2C adrenergic receptor (ADRA2C)
Ibogaine Alpha2C adrenergic receptor ADRA2C functional assay agonist antagonist|Ibogaine|Alpha2C adrenergic receptor (ADRA2C)
Ibogaine Beta1 adrenergic receptor ADRB1 binding affinity Ki|Ibogaine|Beta1 adrenergic receptor (ADRB1)
Ibogaine Beta1 adrenergic receptor ADRB1 receptor pharmacology assay|Ibogaine|Beta1 adrenergic receptor (ADRB1)
Ibogaine Beta1 adrenergic receptor ADRB1 functional assay agonist antagonist|Ibogaine|Beta1 adrenergic receptor (ADRB1)
Ibogaine Beta2 adrenergic receptor ADRB2 binding affinity Ki|Ibogaine|Beta2 adrenergic receptor (ADRB2)
Ibogaine Beta2 adrenergic receptor ADRB2 receptor pharmacology assay|Ibogaine|Beta2 adrenergic receptor (ADRB2)
Ibogaine Beta2 adrenergic receptor ADRB2 functional assay agonist antagonist|Ibogaine|Beta2 adrenergic receptor (ADRB2)
Ibogaine M1 muscarinic receptor CHRM1 binding affinity Ki|Ibogaine|M1 muscarinic receptor (CHRM1)
Ibogaine M1 muscarinic receptor CHRM1 receptor pharmacology assay|Ibogaine|M1 muscarinic receptor (CHRM1)
