line_no,doi,compound,entity,title,year,authors,existing_sources
748,10.1038/npp.2016.38,,,Antidepressant-like Effects of Buprenorphine are Mediated by Kappa Opioid Receptors,2016,Edgardo Falcón; Caroline A. Browne; Rosa M. Leon; Vanessa Fleites; Rachel Sweeney; Lynn G. Kirby; Irwin Lucki,candidate_paper_corpus | mechanistic:paper_library
749,10.1007/s00213-016-4377-8,,,Ayahuasca enhances creative divergent thinking while decreasing conventional convergent thinking,2016,Kim P. C. Kuypers; Jordi Riba; Mario de la Fuente Revenga; Steven A. Barker; Eef L. Theunissen; Johannes G. Ramaekers,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
753,10.1016/j.pbb.2016.01.005,,,"Behavioral and pharmacokinetic interactions between monoamine oxidase inhibitors and the hallucinogen 5-methoxy-N,N-dimethyltryptamine",2016,Adam L. Halberstadt,candidate_paper_corpus | mechanistic:paper_library
754,10.2174/1570159x14666160119094646,,,Brain-derived Neurotrophic Factor (BDNF)-TrkB Signaling in Inflammation-related Depression and Potential Therapeutic Targets,2016,Ji‐chun Zhang; Wei Yao; Kenji Hashimoto,candidate_paper_corpus | disorder:paper_library
756,10.1007/s00213-016-4399-2,,,Comparison of R-ketamine and rapastinel antidepressant effects in the social defeat stress model of depression,2016,Bangkun Yang; Ji-chun Zhang; Mei Han; Wei Yao; Chun Yang; Qian Ren; Min Ma; Qianxue Chen; Kenji Hashimoto,candidate_paper_corpus | mechanistic:paper_library
761,10.1074/jbc.m116.762872,,,Dopamine Transporter Amino and Carboxyl Termini Synergistically Contribute to Substrate and Inhibitor Affinities,2016,Carolyn G. Sweeney; Bradford P. Tremblay; Thomas Stockner; Harald H. Sitte; Haley E. Melikian,candidate_paper_corpus | mechanistic:paper_library
763,10.1016/j.neuropharm.2016.03.038,,,Effect of 5-HT2A and 5-HT2C receptors on temporal discrimination by mice,2016,Adam L. Halberstadt; Ivan S. Sindhunata; Kees Scheffers; Aaron D. Flynn; Richard F. Sharp; Mark A. Geyer; Jared W. Young,candidate_paper_corpus | mechanistic:paper_library
765,10.1073/pnas.1524187113,,,Effects of serotonin 2A/1A receptor stimulation on social exclusion processing,2016,Katrin H. Preller; Thomas Pokorny; Andreas Hock; Rainer Kraehenmann; Philipp Stämpfli; Erich Seifritz; Milan Scheidegger; Franz X. Vollenweider,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
767,10.1016/j.drudis.2016.01.016,,,Emerging treatment mechanisms for depression: focus on glutamate and synaptic plasticity,2016,Danielle M. Gerhard; Eric S. Wohleb; Ronald S. Duman,candidate_paper_corpus | mechanistic:paper_library
768,10.1016/j.neuropharm.2016.08.004,,,Ephenidine: A new psychoactive agent with ketamine-like NMDA receptor antagonist properties,2016,Heather Kang; Pojeong Park; Zuner A. Bortolotto; Simon D. Brandt; Tristan Colestock; Jason Wallach; Graham L. Collingridge; David Lodge,candidate_paper_corpus | mechanistic:curated | mechanistic:paper_library
