# retry queue generated from paper library rows
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors
10.1074/jbc.m609264200,Salvinorin A,kappa opioid receptor (OPRK1),Differential Helical Orientations among Related G Protein-coupled Receptors Provide a Novel Mechanism for Selectivity,2006,Timothy A. Vortherms; Philip D. Mosier; Richard B. Westkaemper; Bryan L. Roth
10.1074/mcp.M113.036558,Psilocybin,5-HT2A,Quantitative Phosphoproteomics Unravels Biased Phosphorylation of Serotonin 2A Receptor at Ser280 by Hallucinogenic versus Nonhallucinogenic Agonists,2014,Samah Karaki; Carine Becamel; Samy Murat; Clotilde Mannoury la Cour; Mark J. Millan; Laurent Prézeau; Joël Bockaert; Philippe Marin; Franck Vandermoere
10.1080/09540261.2020.1854194,S-ketamine,NMDA receptor,Ketamine for depression,2021,Luke A. Jelen; James Stone
10.1093/brain/awq103,MDMA,SERT (SLC6A4),Decreased cerebral cortical serotonin transporter binding in ecstasy users: a positron emission tomography/[11C]DASB and structural brain imaging study,2010,Stephen J. Kish; Jason Lerch; Yoshiaki Furukawa; Junchao Tong; Tina McCluskey; Diana Wilkins; Sylvain Houle; Jeffrey Meyer; Emanuela Mundo; Alan A. Wilson
10.1093/jat/bkaa022,LSD,5-HT2A,"2-(4-Iodo-2,5-dimethoxyphenyl)-<i>N</i>-[(2-methoxyphenyl)methyl]ethanamine (25I-NBOME): A Harmful Hallucinogen Review",2020,Katarzyna Kamińska; Paweł Świt; Kamilla Malek
10.1093/schbul/sbs069,Ketamine,NMDA receptor,Has an Angel Shown the Way? Etiological and Therapeutic Implications of the PCP/NMDA Model of Schizophrenia,2012,D. C. Javitt; S. R. Zukin; U. Heresco-Levy; D. Umbricht
10.1093/toxsci/kfu039,MDMA,SERT (SLC6A4),"Serotonin Reuptake Transporter Deficiency Modulates the Acute Thermoregulatory and Locomotor Activity Response to 3,4-(±)-Methylenedioxymethamphetamine, and Attenuates Depletions in Serotonin Levels in SERT-KO Rats",2014,Lucina E. Lizarraga; Andy V. Phan; Aram B. Cholanians; Joseph M. Herndon; Serrine S. Lau; Terrence J. Monks
10.1097/00000542-200208000-00029,Ketamine,NMDA receptor,Drug Chirality in Anesthesia,2002,Richard B. Weiskopf; Carla Nau; Gary R. Strichartz
10.1097/00000542-200501000-00030,Ketamine,NMDA receptor,Ketamine for Perioperative Pain Management,2004,Sabine Himmelseher; Marcel E. Durieux; Richard B. Weiskopf
10.1097/FBP.0000000000000623,,5-HT7,Subanesthetic ketamine with an AMPAkine attenuates motor impulsivity in rats,2021,Brionna D. Davis-Reyes; Ashley E. Smith; Jimin Xu; Kathryn A. Cunningham; Jia Zhou; Noelle C. Anastasio
