doi,author_position,display_name,author_id,identity_confidence,identity_review_id,previous_author_id
10.1038/s41398-026-03987-7,9,Matthias E. Liechti,orcid:0000-0002-1765-9659,curated_openalex_to_orcid,,openalex:A5130758039
10.1038/s41398-026-04148-6,8,Matthias E. Liechti,orcid:0000-0002-1765-9659,curated_name_to_orcid,,local_author:40d9944bf88a5d21
10.1038/s41591-025-04154-z,15,David Nutt,orcid:0000-0002-1286-1401,curated_openalex_to_orcid,,openalex:A5126096438
10.1038/s41591-026-04287-9,3,Leor Roseman,orcid:0000-0001-9990-6029,curated_openalex_to_orcid,,openalex:A5133050232
10.1038/s41591-026-04287-9,16,Matthias E. Liechti,orcid:0000-0002-1765-9659,curated_openalex_to_orcid,,openalex:A5133031295
10.1038/s41591-026-04287-9,24,David J. Nutt,orcid:0000-0002-1286-1401,curated_openalex_to_orcid,,openalex:A5133013863
10.1038/s41598-017-13282-7,13,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-056,orcid:0000-0002-6423-9411
10.1038/s41598-018-26656-2,6,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-057,orcid:0000-0002-6423-9411
10.1038/s41598-019-51974-4,15,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-058,orcid:0000-0002-6423-9411
10.1038/s41598-024-53363-y,4,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-059,orcid:0000-0002-6423-9411
10.1056/nejmoa2032994,10,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-060,orcid:0000-0002-6423-9411
10.1073/pnas.1518377113,26,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-061,orcid:0000-0002-6423-9411
10.1080/02791072.2013.825034,2,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-062,orcid:0000-0002-6423-9411
10.1080/09515089.2026.2657452,4,Robin Carhart-Harris,orcid:0000-0002-6062-7150,curated_name_to_orcid,,local_author:68f24c41ea20b520
10.1080/14656566.2026.2637587,4,Joshua D Rosenblat,orcid:0000-0002-4773-2191,curated_openalex_to_orcid,,openalex:A5127770447
